"","data/Exp2_A_Sample_1","data/Exp2_A_Sample_2","data/Exp2_B_Sample_1","data/Exp2_B_Sample_2","data/Exp2_C_Sample_1","data/Exp2_C_Sample_2"
"ENSG00000000001",558,1568,445,513,374,781
"ENSG00000000002",0,0,0,0,0,0
"ENSG00000000003",7,16,20,3,3,20
"ENSG00000000004",16,3,21,17,10,9
"ENSG00000000005",16,16,15,9,14,14
"ENSG00000000006",0,0,1,1,1,0
"ENSG00000000007",1,0,0,0,1,0
"ENSG00000000008",23,16,36,31,10,33
"ENSG00000000009",10,94,42,19,28,33
"ENSG00000000010",4,5,10,3,4,2
"ENSG00000000011",25,75,60,42,30,19
"ENSG00000000012",253,711,639,236,458,178
"ENSG00000000013",1,0,1,1,0,0
"ENSG00000000014",1541,2459,2362,2373,3661,2620
"ENSG00000000015",0,3,1,3,5,1
"ENSG00000000016",1,1,3,0,4,1
"ENSG00000000017",0,1,0,0,0,1
"ENSG00000000018",11,20,71,44,29,27
"ENSG00000000019",106,55,143,49,72,25
"ENSG00000000020",0,0,0,0,0,0
"ENSG00000000021",0,0,0,0,1,0
"ENSG00000000022",20,14,14,31,30,22
"ENSG00000000023",87,130,55,49,97,194
"ENSG00000000024",0,1,0,2,1,0
"ENSG00000000025",0,1,0,2,0,0
"ENSG00000000026",7,33,14,25,13,7
"ENSG00000000027",0,2,0,0,1,0
"ENSG00000000028",36,26,67,57,47,64
"ENSG00000000029",0,1,0,0,1,0
"ENSG00000000030",8,8,7,19,1,9
"ENSG00000000031",0,0,0,3,1,0
"ENSG00000000032",0,0,0,0,0,0
"ENSG00000000033",28,139,35,138,79,82
"ENSG00000000034",168,226,131,275,308,244
"ENSG00000000035",17,15,20,3,4,19
"ENSG00000000036",0,0,0,0,0,0
"ENSG00000000037",0,0,0,0,0,0
"ENSG00000000038",250,1212,420,337,174,572
"ENSG00000000039",22,5,7,9,12,14
"ENSG00000000040",9,23,9,17,25,22
"ENSG00000000041",4,1,1,1,0,1
"ENSG00000000042",12,24,24,27,4,24
"ENSG00000000043",16,59,77,44,10,30
"ENSG00000000044",0,0,0,0,0,0
"ENSG00000000045",95,134,54,86,100,139
"ENSG00000000046",15,42,80,20,19,17
"ENSG00000000047",17,24,7,34,17,34
"ENSG00000000048",0,0,1,1,0,0
"ENSG00000000049",137,392,220,150,256,203
"ENSG00000000050",2,6,5,0,4,4
"ENSG00000000051",1,1,0,0,1,1
"ENSG00000000052",1,2,3,7,1,2
"ENSG00000000053",10,19,19,16,13,4
"ENSG00000000054",6,59,50,29,19,16
"ENSG00000000055",2,0,5,7,5,4
"ENSG00000000056",3,2,1,1,1,6
"ENSG00000000057",0,0,1,0,1,0
"ENSG00000000058",37,52,61,83,15,34
"ENSG00000000059",604,469,779,852,870,603
"ENSG00000000060",0,0,2,2,0,0
"ENSG00000000061",337,924,342,170,198,472
"ENSG00000000062",9,8,40,16,5,11
"ENSG00000000063",0,0,0,0,0,0
"ENSG00000000064",1,5,3,2,7,2
"ENSG00000000065",205,156,145,95,346,187
"ENSG00000000066",0,0,0,0,2,0
"ENSG00000000067",0,0,0,0,0,0
"ENSG00000000068",4,11,4,9,11,11
"ENSG00000000069",1,1,2,0,1,2
"ENSG00000000070",1,3,3,2,1,2
"ENSG00000000071",1,0,1,0,0,0
"ENSG00000000072",0,2,4,0,0,0
"ENSG00000000073",10,19,16,21,14,7
"ENSG00000000074",44,23,39,56,58,21
"ENSG00000000075",20,85,82,61,59,33
"ENSG00000000076",11,23,11,15,18,29
"ENSG00000000077",1,0,0,0,1,1
